"Phase","Unit","AreaMicron2","MajorAxisMicron","MinorAxisMicron","Angle","Circ","FeretDiameterMicron","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"Mica",27,1836.593,78.083,29.948,44.628,0.687,78.284,294.591,2009.374,38.157,34.2,2.607,0.384,0.826
"Mica",28,3924.508,82.463,60.595,9.564,0.782,92.439,2207.234,2092.915,25.346,64.169,1.361,0.735,0.888
"Mica",29,28689.509,268.108,136.246,113.685,0.582,294.328,1530.114,2180.852,103.829,144.622,1.968,0.508,0.892
"Mica",30,289.988,20.485,18.024,45.001,1,24.873,1437.78,2251.203,45,17.588,1.137,0.88,0.968
"Mica",31,47306.758,342.744,175.737,130.845,0.498,365.788,782.645,2312.759,154.359,188.968,1.95,0.513,0.805
"Mica",32,19893.198,187.149,135.34,67.269,0.632,218.698,6256.76,2515.015,59.826,152.499,1.383,0.723,0.856
"Mica",33,61090.869,548.78,141.738,89.799,0.341,571.814,668.326,2339.14,100.187,189.066,3.872,0.258,0.774
"Mica",34,4813.806,126.769,48.349,92.539,0.736,122.641,4273.767,2523.809,104.534,43.969,2.622,0.381,0.978
"Mica",35,8699.649,113.714,97.409,15.025,0.874,118.39,5632.403,2682.097,58.671,98.959,1.167,0.857,0.947
"Mica",36,6959.719,135.033,65.624,59.718,0.653,146.357,4757.424,2879.956,57.265,78.195,2.058,0.486,0.861
"Mica",37,5567.775,94.843,74.746,24.694,0.845,106.437,26.381,2840.384,38.29,74.747,1.269,0.788,0.944
"Mica",38,3711.85,78.379,60.298,77.86,0.545,89.03,2972.291,2831.591,110.225,64.587,1.3,0.769,0.851
"Mica",39,7810.352,194.295,51.182,51.644,0.434,209.441,3746.142,3178.944,50.964,69.969,3.796,0.263,0.77
"Mica",40,3634.52,147.448,31.385,85.509,0.485,138.065,3477.932,3266.882,80.838,32.543,4.698,0.213,0.897
"Mica",41,34721.266,296.82,148.941,115.719,0.518,317.794,3785.714,3170.15,104.421,178.417,1.993,0.502,0.803
"Mica",42,173.993,14.884,14.884,0,1,18.654,1749.958,3214.119,135,13.191,1,1,1
"Mica",43,13126.804,155.067,107.783,63.779,0.822,160.471,4075.908,3381.201,80.538,108.602,1.439,0.695,0.935
"Mica",44,12218.174,154.224,100.871,173.235,0.695,173.941,5803.882,3253.691,163.856,108.279,1.529,0.654,0.878
"Mica",45,425.316,24.422,22.174,45,1,28.154,3688.982,3271.279,38.66,21.984,1.101,0.908,0.936
"Mica",46,27413.561,322.782,108.135,172.658,0.322,365.893,4590.343,3433.963,4.135,153.891,2.985,0.335,0.72
"Mica",47,17341.3,222.218,99.36,88.578,0.572,225.316,7676.952,3548.282,84.401,104.856,2.236,0.447,0.921
"Mica",48,4562.483,99.122,58.606,130.357,0.682,112.099,7294.424,3407.582,131.82,73.094,1.691,0.591,0.852
"Mica",49,5780.433,88.416,83.242,108.363,0.936,92.752,6955.864,3407.582,121.43,83.541,1.062,0.941,0.94
"Mica",50,2455.234,83.248,37.552,24.521,0.637,89.03,5711.547,3477.932,32.905,46.872,2.217,0.451,0.864
"Mica",51,25267.647,282.309,113.959,146.586,0.436,294.624,7395.552,3495.52,142.275,129.116,2.477,0.404,0.819
"Mica",52,6225.082,166.911,47.486,168.261,0.533,165.512,1776.34,3482.329,163.009,52.037,3.515,0.285,0.888
"Mica",53,38549.112,407.306,120.505,154.637,0.241,488.133,7769.287,3539.488,150.895,165.729,3.38,0.296,0.708
"Mica",54,35455.903,349.937,129.006,37.929,0.38,387.824,5562.053,3895.636,32.969,182.315,2.713,0.369,0.69
"Mica",55,2880.55,91.742,39.977,129.457,0.574,96.431,6911.895,3688.982,133.152,49.374,2.295,0.436,0.784
"Mica",56,1411.276,66.016,27.219,96.864,0.761,65.364,7839.637,3697.776,109.654,26.381,2.425,0.412,0.942
"Mica",57,14518.748,213.471,86.597,123.087,0.595,206.044,6665.67,3785.714,140.194,85.464,2.465,0.406,0.893
"Mica",58,1933.255,71.457,34.447,107.045,0.793,72.781,7901.193,3785.714,115.017,37.333,2.074,0.482,0.909
"Mica",59,367.319,24.402,19.165,167.179,1,28.154,8125.434,3790.111,141.34,17.588,1.273,0.785,0.974
"Mica",60,5219.789,101.119,65.725,97.459,0.563,119.608,6269.951,3798.904,107.103,79.801,1.539,0.65,0.758
"Mica",61,58693.632,359.352,207.961,97.795,0.226,479.744,6951.467,3864.857,107.605,252.327,1.728,0.579,0.677
"Mica",62,1314.614,50.616,33.069,84.039,0.941,51.464,2449.062,3987.97,70.017,30.778,1.531,0.653,0.951
"Mica",63,3383.197,75.263,57.234,148.482,0.763,89.03,2932.719,3983.573,147.095,60.986,1.315,0.76,0.882
"Mica",64,15408.045,166.941,117.515,19.736,0.479,203.02,3086.61,4207.814,4.97,141.08,1.421,0.704,0.745
"Mica",65,26678.924,232.108,146.348,17.56,0.603,249.54,5271.859,4251.783,14.281,159.012,1.586,0.631,0.869
"Mica",66,15350.047,155.054,126.048,7.945,0.752,165.745,7527.459,4203.417,158.199,130.247,1.23,0.813,0.908
"Mica",67,2126.581,63.436,42.683,116.25,0.837,68.681,3341.629,4212.211,129.806,46.994,1.486,0.673,0.905
"Mica",68,10826.23,156.302,88.19,116.595,0.651,177.244,4093.495,4229.799,113.385,101.546,1.772,0.564,0.886
"Mica",69,14480.083,241.343,76.392,167.584,0.311,268.642,3398.788,4256.18,158.895,115.461,3.159,0.317,0.64
"Mica",70,8564.321,118.828,91.766,46.056,0.84,125.137,6740.417,4484.818,71.565,93.272,1.295,0.772,0.917
"Mica",71,3634.52,121.464,38.099,86.638,0.528,117.323,5333.415,4590.343,77.005,39.572,3.188,0.314,0.887
"Mica",72,2977.213,92.203,41.113,42.404,0.549,105.891,7690.143,4748.63,41.634,52.139,2.243,0.446,0.811
"Mica",73,124946.293,642.402,247.643,113.102,0.169,860.857,7083.374,4761.821,107.232,389.414,2.594,0.385,0.531
"Mica",74,3035.211,101.827,37.952,124.994,0.658,101.224,2796.416,4770.615,124.38,43.512,2.683,0.373,0.837
"Mica",75,4794.473,110.894,55.048,152.463,0.633,112.357,2708.478,4827.774,149.421,61.825,2.014,0.496,0.866
"Mica",76,1662.6,51.688,40.955,146.22,0.86,58.99,6076.488,4933.299,153.435,43.527,1.262,0.792,0.847
"Mica",77,1778.595,77.839,29.093,150.202,0.596,79.266,6098.473,4990.459,146.31,37.387,2.676,0.374,0.767
"Mica",78,405.984,22.736,22.736,0,1,25.638,6177.616,5012.443,120.964,21.984,1,1,0.913
"Mica",79,24243.022,193.553,159.477,131.4,0.733,212.511,1116.808,5175.128,155.556,172.337,1.214,0.824,0.882
"Mica",80,173.993,14.884,14.884,0,1,18.654,8186.991,5170.731,135,13.191,1,1,1
"Mica",81,7365.703,104.815,89.475,147.747,0.809,115.413,6362.285,5249.875,162.255,97.979,1.171,0.854,0.883
"Mica",82,1333.946,50.212,33.825,138.338,0.904,56.308,408.91,5267.462,141.34,39.572,1.484,0.674,0.908
"Mica",83,48466.712,491.733,125.494,97.026,0.379,542.886,298.988,5302.637,98.852,143.826,3.918,0.255,0.821
"Mica",84,19100.563,163.857,148.42,20.054,0.887,175.104,7382.361,5447.734,28.496,145.097,1.104,0.906,0.959
"Mica",85,1256.616,42.089,38.014,39.913,0.973,47.56,3099.8,5399.369,56.31,39.572,1.107,0.903,0.922
"Mica",86,20260.516,244.187,105.642,15.441,0.414,305.891,2334.743,5518.084,18.435,137.276,2.311,0.433,0.725
"Mica",87,67412.614,416.804,205.93,104.995,0.302,497.8,5030.031,5452.131,132.852,307.093,2.024,0.494,0.6
"Mica",88,5973.759,180.404,42.161,29.736,0.429,183.25,4436.452,5628.006,30.256,49.636,4.279,0.234,0.812
"Mica",89,2861.218,125.446,29.04,90.803,0.529,115.664,5460.925,5570.847,98.746,26.381,4.32,0.231,0.974
"Mica",90,1488.607,51.524,36.786,40.764,0.89,56.308,5654.388,5667.578,38.66,42.496,1.401,0.714,0.911
"Mica",91,22773.748,209.557,138.37,83.957,0.557,257.433,6749.211,5896.216,82.147,155.126,1.514,0.66,0.85
"Mica",92,1295.281,42.738,38.589,37.937,0.964,47.56,5403.765,5737.928,33.69,39.572,1.108,0.903,0.924
"Mica",93,11425.539,254.123,57.246,77.732,0.393,247.556,2009.374,5948.979,70.278,68.136,4.439,0.225,0.775
"Mica",94,231.991,19.845,14.884,90,1,21.984,6929.483,5746.722,126.87,13.191,1.333,0.75,1
"Mica",95,560.644,33.953,21.024,65.118,0.977,37.823,5038.824,5795.088,54.462,21.984,1.615,0.619,0.935
"Mica",96,21845.785,270.693,102.754,109.515,0.564,288.222,5421.353,5773.103,111.477,114.055,2.634,0.38,0.899
"Mica",97,173.993,14.884,14.884,0,1,18.654,6256.76,5790.691,135,13.191,1,1,1
"Mica",98,8970.305,115.063,99.262,6.282,0.841,123.817,2128.09,6080.885,16.504,101.128,1.159,0.863,0.939
"Mica",99,47828.737,392.019,155.343,102.242,0.572,408.437,1767.546,6014.932,104.335,186.562,2.524,0.396,0.856
"Mica",100,2319.906,78.991,37.394,87.161,0.523,89.679,2528.206,6129.251,101.31,43.969,2.112,0.473,0.75
"Mica",101,79437.462,376.95,268.319,127.213,0.581,423.792,2602.953,6142.441,120.556,290.902,1.405,0.712,0.893
"Mica",102,173.993,14.884,14.884,0,1,18.654,6357.888,6195.204,135,13.191,1,1,1
"Mica",103,9782.272,175.891,70.812,121.572,0.272,200.914,3473.535,6212.791,113.199,112.486,2.484,0.403,0.62
"Mica",104,173.993,14.884,14.884,0,1,18.654,6423.842,6221.585,135,13.191,1,1,1
