time,S,I,R
6.75,0.9936723655965624,0.005691223153595962,6.364112498429695e-4
6.800000000000001,0.9932565104937736,0.006065104586902757,6.783849193249424e-4
6.8500000000000005,0.9928135343770083,0.006463350283632779,7.231153393602402e-4
6.9,0.9923416967755766,0.006887521161417244,7.707820630074277e-4
6.95,0.9918391493585738,0.007339274507581874,8.215761338457982e-4
7,0.9913039297692422,0.007820369436906782,8.757007938524398e-4
7.050000000000001,0.9907339551807387,0.008332672588350317,9.333722309124064e-4
7.1000000000000005,0.9901270155684492,0.008878164063615034,9.94820367937242e-4
7.15,0.9894807666988561,0.009458943605889029,0.0010602896952562285
7.2,0.9887927228365251,0.010077237015487916,0.0011300401479883118
7.25,0.9880602491732924,0.010735402796637003,0.0012043480300719467
7.300000000000001,0.9872805539867499,0.0114359390266782,0.001283506986573231
7.3500000000000005,0.986450680538545,0.012181490435636025,0.00136782902582034
7.4,0.9855674987269841,0.012974855680204669,0.0014576455928124463
7.45,0.9846276965129938,0.013818994791785688,0.0015533086952218762
7.5,0.9836277711436996,0.014717036773156457,0.001655192083145195
7.550000000000001,0.9825640202038224,0.0156722873126216,0.001763692483557259
7.6000000000000005,0.9814325325317919,0.016688236578032246,0.001879230890177146
7.65,0.9802291790450521,0.017768567045788424,0.002002253909160755
7.7,0.9789496035275121,0.018917161311803522,0.002133235160685679
7.75,0.9775892134415707,0.02013810982234716,0.002272676736083474
7.800000000000001,0.976143170837673,0.02143571845263262,0.00242111070969568
7.8500000000000005,0.9746063834459999,0.022814515849925575,0.0025791007040756927
7.9,0.9729734960477032,0.02427926044577661,0.0027472435065213846
7.95,0.9712388822371204,0.025834947028685825,0.0029261707341950195
8,0.9693966367016636,0.027486812754077716,0.003116550544259875
8.05,0.967440568162575,0.029240342452897666,0.003319089384528543
8.1,0.9653641931374662,0.031101273083466715,0.003534533779068313
8.15,0.963160730704456,0.03307559715350871,0.0037636721420366815
8.200000000000001,0.960823098467696,0.035169564920588085,0.0040073366117172856
8.25,0.9583439099449926,0.03738968515972061,0.004266404895287977
8.3,0.9557154736198933,0.039742724266835776,0.0045418021132722294
8.35,0.9529297939227498,0.0422357034463516,0.004834502630899867
8.4,0.9499785744275537,0.04487589371071512,0.005145531861732291
8.450000000000001,0.9468532235733264,0.04767080839978368,0.005475968026891122
8.5,0.9435448632400107,0.05062819290891592,0.005826943851074476
8.55,0.9400443405285183,0.05375601129722394,0.006199648174258936
8.6,0.9363422431120496,0.0570624294323685,0.006595327455582988
8.65,0.9324289185401602,0.06055579431643182,0.007015287143409146
8.700000000000001,0.9282944978872456,0.06424460922976344,0.007460892882992084
8.75,0.923928924041358,0.06813750442366948,0.007933571534973807
8.8,0.9193219854829348,0.07224320256524766,0.008434811951818819
8.85,0.9144633551833665,0.076570479310621,0.008966165506013674
8.9,0.9093426354701003,0.081128118215560735,0.009529246314340099
8.950000000000001,0.9039494092344674,0.08592485965289294,0.010125731112640734
9,0.8982732976278263,0.09096934362616674,0.010757358746008125
9.05,0.8923040244653254,0.09627004630504434,0.011425929229631397
9.1,0.886031487554539,0.10183521011274285,0.012133302332719295
9.15,0.8794458370060801,0.10767276735403786,0.012881395639883119
9.200000000000001,0.8725375604862324,0.1137902574695653,0.013672182044203328
